branch,scheme,region,site,ref,cmp,lag_days,n_shared,frac_changed,frac_gt_05,median_abs,max_abs
open,nextstrain_clades,global,daily_raw_freq,2024-06-01,2024-06-15,14,242,0.9256198347107438,0.09917355371900827,0.0040000000000000036,0.132
open,nextstrain_clades,global,daily_raw_freq,2024-06-01,2024-07-01,30,210,0.9571428571428572,0.3047619047619048,0.014999999999999902,0.5
open,nextstrain_clades,global,daily_raw_freq,2024-06-01,2024-07-31,60,150,1.0,0.5,0.0505,0.5309999999999999
open,nextstrain_clades,global,daily_raw_freq,2024-06-01,2024-09-29,120,30,1.0,0.8333333333333334,0.188,0.5309999999999999
open,nextstrain_clades,global,weekly_raw_freq,2024-06-01,2024-06-15,14,242,0.859504132231405,0.03305785123966942,0.0020000000000000018,0.09700000000000003
open,nextstrain_clades,global,weekly_raw_freq,2024-06-01,2024-07-01,30,210,0.9761904761904762,0.26666666666666666,0.01200000000000001,0.374
open,nextstrain_clades,global,weekly_raw_freq,2024-06-01,2024-07-31,60,150,0.9866666666666667,0.4,0.03699999999999998,0.372
open,nextstrain_clades,global,weekly_raw_freq,2024-06-01,2024-09-29,120,30,1.0,0.7666666666666667,0.184,0.373
open,pango_lineages,global,daily_raw_freq,2024-06-01,2024-06-15,14,1936,0.7045454545454546,0.03305785123966942,0.0020000000000000018,0.273
open,pango_lineages,global,daily_raw_freq,2024-06-01,2024-07-01,30,1365,0.8249084249084249,0.07912087912087912,0.005000000000000001,0.27399999999999997
open,pango_lineages,global,daily_raw_freq,2024-06-01,2024-07-31,60,825,0.9612121212121212,0.14666666666666667,0.014999999999999986,0.335
open,pango_lineages,global,daily_raw_freq,2024-06-01,2024-09-29,120,90,0.9777777777777777,0.4111111111111111,0.040499999999999994,0.23
open,pango_lineages,global,weekly_raw_freq,2024-06-01,2024-06-15,14,1936,0.756198347107438,0.02169421487603306,0.0020000000000000018,0.228
open,pango_lineages,global,weekly_raw_freq,2024-06-01,2024-07-01,30,1365,0.8498168498168498,0.06227106227106227,0.0030000000000000027,0.225
open,pango_lineages,global,weekly_raw_freq,2024-06-01,2024-07-31,60,825,0.9733333333333334,0.09696969696969697,0.010000000000000002,0.273
open,pango_lineages,global,weekly_raw_freq,2024-06-01,2024-09-29,120,90,1.0,0.3333333333333333,0.0245,0.15600000000000003
gisaid,nextstrain_clades,global,daily_raw_freq,2024-06-01,2024-06-15,14,6190,0.23909531502423265,0.056219709208400644,0.0,0.583
gisaid,nextstrain_clades,global,daily_raw_freq,2024-06-01,2024-07-01,30,3824,0.4270397489539749,0.10747907949790796,0.0,0.5
gisaid,nextstrain_clades,global,daily_raw_freq,2024-06-01,2024-07-31,60,2553,0.6079122600861732,0.25381903642773207,0.008000000000000007,0.923
gisaid,nextstrain_clades,global,daily_raw_freq,2024-06-01,2024-09-29,120,510,0.8745098039215686,0.5333333333333333,0.055999999999999994,0.867
gisaid,nextstrain_clades,global,weekly_raw_freq,2024-06-01,2024-06-15,14,5770,0.39774696707105717,0.0292894280762565,0.0,0.419
gisaid,nextstrain_clades,global,weekly_raw_freq,2024-06-01,2024-07-01,30,3716,0.6251345532831001,0.04817007534983853,0.0020000000000000018,0.21200000000000002
gisaid,nextstrain_clades,global,weekly_raw_freq,2024-06-01,2024-07-31,60,2325,0.8782795698924731,0.17548387096774193,0.011,0.401
gisaid,nextstrain_clades,global,weekly_raw_freq,2024-06-01,2024-09-29,120,444,0.9819819819819819,0.3918918918918919,0.030000000000000027,0.395
gisaid,pango_lineages,global,daily_raw_freq,2024-06-01,2024-06-15,14,37587,0.17144225397078777,0.021949078138718173,0.0,1.0
gisaid,pango_lineages,global,daily_raw_freq,2024-06-01,2024-07-01,30,26922,0.270002228660575,0.03681004383032464,0.0,1.0
gisaid,pango_lineages,global,daily_raw_freq,2024-06-01,2024-07-31,60,12908,0.41780291292221877,0.08204214440656957,0.0,1.0
gisaid,pango_lineages,global,daily_raw_freq,2024-06-01,2024-09-29,120,2023,0.6608996539792388,0.22590212555610478,0.012,1.0
gisaid,pango_lineages,global,weekly_raw_freq,2024-06-01,2024-06-15,14,37179,0.31676484036687375,0.014658812770650098,0.0,0.427
gisaid,pango_lineages,global,weekly_raw_freq,2024-06-01,2024-07-01,30,26586,0.4653577070638682,0.02689385390807192,0.0,0.427
gisaid,pango_lineages,global,weekly_raw_freq,2024-06-01,2024-07-31,60,12684,0.6566540523494165,0.06425417849258909,0.002,0.427
gisaid,pango_lineages,global,weekly_raw_freq,2024-06-01,2024-09-29,120,1887,0.8696343402225755,0.1992580816110228,0.01,0.473
