rep,level,n,n_pairs,mcb_exact,mcb_linear,gap,rel_gap
0,50,600,182077,0.07452166666666667,0.07028333333333334,0.00423833333333333,0.05687383982287026
0,80,600,178772,0.22981000000000001,0.21658166666666667,0.013228333333333342,0.05756204400736844
0,95,600,175093,0.9852483333333324,0.9604683333333324,0.024780000000000024,0.025151019455331953
1,50,600,182209,0.066085,0.06283000000000001,0.003254999999999994,0.04925474767345076
1,80,600,178855,0.21112000000000003,0.19969833333333334,0.011421666666666691,0.05410035366931929
1,95,600,175081,0.9509299999999993,0.928226666666666,0.022703333333333298,0.023874873369578532
2,50,600,182729,0.06774833333333337,0.0633866666666667,0.0043616666666666665,0.06438042756279364
2,80,600,179135,0.22174666666666673,0.21221000000000004,0.009536666666666693,0.04300703505501784
2,95,600,175421,1.0251066666666657,1.0036716666666656,0.021435000000000093,0.02091001911996161
3,50,600,183800,0.07128666666666668,0.06885333333333334,0.002433333333333343,0.03413448050126264
3,80,600,180296,0.24220833333333344,0.23348833333333344,0.008720000000000006,0.03600206433855153
3,95,600,176881,1.1353999999999989,1.1182483333333322,0.017151666666666676,0.015106276789384088
4,50,600,184332,0.07118833333333334,0.06719166666666666,0.003996666666666676,0.05614215812516109
4,80,600,181256,0.22869166666666668,0.22015500000000002,0.008536666666666665,0.0373282804358124
4,95,600,177851,1.0131816666666658,0.9984716666666658,0.01471,0.01451862038561694
5,50,600,183135,0.07441166666666667,0.07014166666666667,0.004269999999999996,0.05738347481353725
5,80,600,179509,0.24000666666666673,0.22747166666666674,0.01253499999999999,0.052227715896780595
5,95,600,176033,1.034944999999999,1.0147316666666657,0.020213333333333194,0.01953082853034047
6,50,600,182174,0.056999999999999995,0.05229500000000001,0.004704999999999987,0.08254385964912259
6,80,600,179139,0.19163500000000006,0.18267500000000006,0.008959999999999996,0.04675555091710801
6,95,600,175978,0.8904766666666658,0.8690183333333324,0.021458333333333357,0.02409758069648096
7,50,600,185246,0.07896499999999998,0.07429499999999997,0.0046700000000000075,0.05914012537200036
7,80,600,181828,0.2507966666666668,0.2375200000000001,0.013276666666666687,0.05293797099908298
7,95,600,177896,1.0949633333333322,1.0680616666666656,0.0269016666666666,0.024568554807010246
8,50,600,184198,0.06533166666666668,0.06175000000000001,0.0035816666666666636,0.0548228271129365
8,80,600,180307,0.20353666666666678,0.19391166666666682,0.009624999999999967,0.04728877679697333
