branch,min_lag_days,n_dates,n_auditable,frac,median_matches
gisaid,0,37,37,1.0,6.0
gisaid,7,37,27,0.7297297297297297,3.0
gisaid,14,37,21,0.5675675675675675,1.0
gisaid,21,37,17,0.4594594594594595,0.0
gisaid,30,37,16,0.43243243243243246,0.0
gisaid,45,37,11,0.2972972972972973,0.0
gisaid,60,37,5,0.13513513513513514,0.0
gisaid,90,37,0,0.0,0.0
open,0,35,35,1.0,6.0
open,7,35,22,0.6285714285714286,3.0
open,14,35,20,0.5714285714285714,1.0
open,21,35,15,0.42857142857142855,0.0
open,30,35,10,0.2857142857142857,0.0
open,45,35,5,0.14285714285714285,0.0
open,60,35,2,0.05714285714285714,0.0
open,90,35,1,0.02857142857142857,0.0
