branch,min_lag_days,n_dates,n_auditable,frac,median_matches
gisaid,0,110,110,1.0,16.0
gisaid,7,110,87,0.7909090909090909,10.0
gisaid,14,110,67,0.6090909090909091,4.5
gisaid,21,110,56,0.509090909090909,1.0
gisaid,30,110,45,0.4090909090909091,0.0
gisaid,45,110,33,0.3,0.0
gisaid,60,110,17,0.15454545454545454,0.0
gisaid,90,110,2,0.01818181818181818,0.0
open,0,105,105,1.0,16.0
open,7,105,81,0.7714285714285715,10.0
open,14,105,66,0.6285714285714286,5.0
open,21,105,53,0.5047619047619047,1.0
open,30,105,40,0.38095238095238093,0.0
open,45,105,24,0.22857142857142856,0.0
open,60,105,15,0.14285714285714285,0.0
open,90,105,2,0.01904761904761905,0.0
