forecast_date,n_cal,n_test,cov_50,width_50,cov_80,width_80,cov_95,width_95
2026-02-19,271,560,0.5160714285714286,0.1493358418367347,0.7375,0.28905314625850337,0.9035714285714286,0.4540774404761905
2026-03-26,831,874,0.6361556064073226,0.08969677467490227,0.8409610983981693,0.20872884724539845,0.931350114416476,0.382710600022146
2026-04-09,1705,596,0.6291946308724832,0.08589488495791849,0.8238255033557047,0.15350944848591336,0.964765100671141,0.3642994693787032
2026-04-23,2301,360,0.6777777777777778,0.08934092354542265,0.8583333333333333,0.1519099698630884,0.9777777777777777,0.3121305023208106
2026-05-07,2661,692,0.5578034682080925,0.15583630193108955,0.7630057803468208,0.25090908116734706,0.9132947976878613,0.4691582552821029
2026-05-21,3353,432,0.44907407407407407,0.1572094709883363,0.7800925925925926,0.2776682555707755,0.9398148148148148,0.5473789034405653
2026-06-04,3785,352,0.028409090909090908,0.0002663333825265631,0.028409090909090908,0.0004381251516306781,0.028409090909090908,0.0009058195886982798
2026-06-18,4137,272,0.44485294117647056,0.1292302572974891,0.7683823529411765,0.24232779075628783,0.9411764705882353,0.5754113792506766
2026-07-02,4409,322,0.32298136645962733,0.10508919672002293,0.5993788819875776,0.1948384945900687,0.7577639751552795,0.41098123794633995
2026-07-16,4731,158,0.08227848101265822,0.04279666565964366,0.13924050632911392,0.0752384439670732,0.23417721518987342,0.1844819675078598
2026-07-30,4889,80,0.2,0.11263621051982989,0.675,0.22623693775285045,0.9,0.5143827651515153
