forecast_date,n_cal,n_test,cov_50,width_50,cov_80,width_80,cov_95,width_95
2023-06-30,1890,980,0.6448979591836734,0.09711020408163264,0.9163265306122449,0.1647469387755102,1.0,0.23827551020408164
2023-07-07,2870,546,0.7417582417582418,0.08887362637362638,0.9157509157509157,0.14595970695970695,1.0,0.21716483516483517
2023-07-14,3416,553,0.72875226039783,0.08605605786618445,0.918625678119349,0.1501880650994575,0.9819168173598554,0.22378300180831825
2023-09-08,3969,3780,0.258994708994709,0.09114206349206348,0.6253968253968254,0.15977037037037037,0.823015873015873,0.26532804232804236
2023-09-15,7749,4200,0.34904761904761905,0.10198642857142856,0.6735714285714286,0.15298333333333336,0.9228571428571428,0.1988585714285714
2023-09-27,11949,4200,0.49738095238095237,0.11153619047619047,0.8538095238095238,0.16218785714285716,0.9757142857142858,0.20792761904761906
2023-10-04,16149,4298,0.560725919032108,0.10810004653327128,0.8829688227082364,0.15699232201023736,0.9848766868310842,0.20434155421126105
2023-10-12,20447,4123,0.6284259034683483,0.10412054329371816,0.9073490177055542,0.15119912684938153,0.9907834101382489,0.1992566092650982
2023-10-19,24570,3381,0.6870748299319728,0.10163146997929606,0.9245785270629991,0.15041614906832299,0.9908311150547175,0.2000298728186927
2023-10-26,27951,2429,0.7344586249485385,0.09745862494853848,0.968299711815562,0.15065170852202553,0.9925895430218197,0.20441951420337587
2023-11-04,30380,1134,0.7883597883597884,0.0876825396825397,0.982363315696649,0.14042239858906527,0.9955908289241623,0.19454585537918873
2023-12-06,31514,2160,0.8083333333333333,0.06680277777777777,0.9356481481481481,0.11537129629629629,0.9884259259259259,0.1877976851851852
2023-12-13,33674,760,0.8723684210526316,0.06402105263157895,0.9671052631578947,0.11015394736842107,0.9947368421052631,0.1746973684210526
2024-01-03,34434,5067,0.8912571541345964,0.04978804026050918,0.9711861061772252,0.08227313992500494,0.9926978488257352,0.1326364712847839
2024-01-10,39501,4158,0.8888888888888888,0.03874915824915824,0.9925444925444925,0.06968374218374218,1.0,0.11680928330928331
