scheme,subtype,resolution,forecast_date,target_date,horizon,location,variant,median,truth,abs_error,wis,partition_size,cov_50,width_50,lo_50,hi_50,cov_80,width_80,lo_80,hi_80,cov_95,width_95,lo_95,hi_95
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,China,J.2,0.001,0.0,0.001,0.0003071428571428571,13,1,0.001,0.0,0.001,1,0.002,0.0,0.002,1,0.005,0.0,0.005
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,China,J.2.2,0.015,0.04,0.025,0.016642857142857143,13,0,0.009000000000000001,0.011,0.02,0,0.018,0.008,0.026,0,0.028,0.005,0.033
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,China,J.2.3,0.0,0.0,0.0,7.142857142857149e-06,13,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.001,0.0,0.001
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,China,J.2.4:160K,0.001,0.0,0.001,0.0003928571428571429,13,1,0.001,0.0,0.001,1,0.004,0.0,0.004,1,0.009,0.0,0.009
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,China,J.2.4:62R-158D-160K-328A,0.0,0.0,0.0,7.142857142857149e-06,13,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.001,0.0,0.001
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,China,J.2.4:79V-144N-158D-160K-328A,0.0,0.0,0.0,5.714285714285716e-05,13,1,0.0,0.0,0.0,1,0.001,0.0,0.001,1,0.004,0.0,0.004
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,China,K,0.961,0.88,0.08099999999999996,0.05269285714285714,13,0,0.029000000000000026,0.944,0.973,0,0.05499999999999994,0.924,0.979,0,0.08699999999999997,0.901,0.988
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,China,K:145N,0.0,0.0,0.0,0.0001642857142857143,13,1,0.001,0.0,0.001,1,0.002,0.0,0.002,1,0.005,0.0,0.005
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,China,K:272T,0.016,0.04,0.024,0.00972857142857143,13,0,0.019000000000000003,0.009,0.028,1,0.036000000000000004,0.005,0.041,1,0.06799999999999999,0.003,0.071
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,China,K:80K,0.0,0.0,0.0,0.00017142857142857148,13,1,0.001,0.0,0.001,1,0.002,0.0,0.002,1,0.006,0.0,0.006
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,China,K:88I,0.0,0.0,0.0,6.428571428571431e-05,13,1,0.0,0.0,0.0,1,0.001,0.0,0.001,1,0.005,0.0,0.005
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,China,J.2.4,0.001,0.04,0.039,0.03829285714285714,13,0,0.001,0.0,0.001,0,0.002,0.0,0.002,0,0.003,0.0,0.003
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,Europe,J.2,0.005,0.009,0.003999999999999999,0.0021571428571428566,13,0,0.003,0.003,0.006,0,0.006,0.002,0.008,1,0.008,0.002,0.01
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,Europe,J.2.2,0.002,0.012,0.01,0.007914285714285716,13,0,0.001,0.002,0.003,0,0.003,0.001,0.004,0,0.006,0.001,0.007
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,Europe,J.2.3,0.007,0.023,0.016,0.009764285714285713,13,0,0.006,0.004,0.01,0,0.012,0.003,0.015,0,0.019000000000000003,0.002,0.021
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,Europe,J.2.4:160K,0.0,0.0,0.0,0.00012142857142857146,13,1,0.001,0.0,0.001,1,0.001,0.0,0.001,1,0.003,0.0,0.003
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,Europe,J.2.4:62R-158D-160K-328A,0.0,0.0,0.0,0.0001642857142857143,13,1,0.001,0.0,0.001,1,0.002,0.0,0.002,1,0.005,0.0,0.005
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,Europe,J.2.4:79V-144N-158D-160K-328A,0.036,0.023,0.012999999999999998,0.006014285714285715,13,0,0.023,0.025,0.048,1,0.05,0.02,0.07,1,0.072,0.014,0.086
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,Europe,K,0.848,0.854,0.006000000000000005,0.00935714285714286,13,1,0.062000000000000055,0.814,0.876,1,0.10399999999999998,0.787,0.891,1,0.15400000000000003,0.755,0.909
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,Europe,K:145N,0.013,0.006,0.006999999999999999,0.0034571428571428574,13,0,0.012,0.008,0.02,1,0.026,0.005,0.031,1,0.04,0.002,0.042
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,Europe,K:272T,0.017,0.023,0.005999999999999998,0.0026071428571428565,13,1,0.011,0.012,0.023,1,0.024,0.009,0.033,1,0.039,0.006,0.045
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,Europe,K:80K,0.005,0.0,0.005,0.002664285714285714,13,0,0.006999999999999999,0.002,0.009,0,0.013999999999999999,0.001,0.015,1,0.027,0.0,0.027
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,Europe,K:88I,0.039,0.05,0.011000000000000003,0.007692857142857142,13,1,0.04,0.025,0.065,1,0.086,0.016,0.102,1,0.113,0.009,0.122
