scheme,subtype,resolution,forecast_date,partition_size,matching_snapshots,truth_points
emerging_haplotype,h3n2,region,2025-12-23,13,3,8496
emerging_haplotype,h3n2,region,2026-01-09,13,0,0
emerging_haplotype,h3n2,region,2026-01-13,13,0,0
emerging_haplotype,h3n2,region,2026-01-15,14,3,6318
emerging_haplotype,h3n2,region,2026-01-29,14,1,3107
emerging_haplotype,h3n2,region,2026-02-13,14,0,0
emerging_haplotype,h3n2,region,2026-02-19,10,2,4302
emerging_haplotype,h3n2,region,2026-03-02,10,0,0
emerging_haplotype,h3n2,region,2026-03-13,10,0,0
emerging_haplotype,h3n2,region,2026-03-26,11,9,3080
emerging_haplotype,h3n2,region,2026-04-09,11,7,2900
emerging_haplotype,h3n2,region,2026-04-23,11,5,2720
emerging_haplotype,h3n2,region,2026-05-07,11,3,2540
emerging_haplotype,h3n2,region,2026-05-21,11,1,2360
emerging_haplotype,h3n2,region,2026-06-04,11,0,0
emerging_haplotype,h3n2,region,2026-06-18,11,0,0
emerging_haplotype,h3n2,region,2026-07-02,11,2,2160
emerging_haplotype,h3n2,region,2026-07-16,11,0,0
emerging_haplotype,h3n2,region,2026-07-30,11,0,0
emerging_haplotype,h3n2,region,2026-08-07,11,1,1728
emerging_haplotype,h3n2,region,2026-08-20,11,0,0
emerging_haplotype,h1n1pdm,region,2025-12-23,7,3,3150
emerging_haplotype,h1n1pdm,region,2026-01-09,7,0,0
emerging_haplotype,h1n1pdm,region,2026-01-13,7,0,0
emerging_haplotype,h1n1pdm,region,2026-01-15,8,0,0
emerging_haplotype,h1n1pdm,region,2026-01-29,7,1,1002
emerging_haplotype,h1n1pdm,region,2026-02-13,7,0,0
emerging_haplotype,h1n1pdm,region,2026-02-19,8,8,1477
emerging_haplotype,h1n1pdm,region,2026-03-02,8,8,1477
emerging_haplotype,h1n1pdm,region,2026-03-13,9,0,0
emerging_haplotype,h1n1pdm,region,2026-03-26,8,5,1330
emerging_haplotype,h1n1pdm,region,2026-04-09,8,3,1232
emerging_haplotype,h1n1pdm,region,2026-04-23,8,1,980
emerging_haplotype,h1n1pdm,region,2026-05-07,8,0,0
emerging_haplotype,h1n1pdm,region,2026-05-21,7,0,0
emerging_haplotype,h1n1pdm,region,2026-06-04,6,0,0
emerging_haplotype,h1n1pdm,region,2026-06-18,5,0,0
emerging_haplotype,h1n1pdm,region,2026-07-02,6,6,1620
emerging_haplotype,h1n1pdm,region,2026-07-16,6,4,1460
emerging_haplotype,h1n1pdm,region,2026-07-30,6,1,680
emerging_haplotype,h1n1pdm,region,2026-08-07,6,0,0
emerging_haplotype,h1n1pdm,region,2026-08-20,5,0,0
emerging_haplotype,vic,region,2025-12-23,8,8,3395
emerging_haplotype,vic,region,2026-01-09,8,2,672
emerging_haplotype,vic,region,2026-01-13,8,2,672
emerging_haplotype,vic,region,2026-01-15,8,2,672
emerging_haplotype,vic,region,2026-01-29,8,0,0
emerging_haplotype,vic,region,2026-02-13,9,0,0
emerging_haplotype,vic,region,2026-02-19,8,6,3255
emerging_haplotype,vic,region,2026-03-02,8,4,1309
emerging_haplotype,vic,region,2026-03-13,8,2,1211
emerging_haplotype,vic,region,2026-03-26,8,1,1162
emerging_haplotype,vic,region,2026-04-09,8,0,0
emerging_haplotype,vic,region,2026-04-23,8,0,0
emerging_haplotype,vic,region,2026-05-07,9,16,3360
emerging_haplotype,vic,region,2026-05-21,9,14,3280
emerging_haplotype,vic,region,2026-06-04,9,12,3040
emerging_haplotype,vic,region,2026-06-18,9,10,2960
emerging_haplotype,vic,region,2026-07-02,9,8,2760
emerging_haplotype,vic,region,2026-07-16,9,6,2648
emerging_haplotype,vic,region,2026-07-30,9,3,1392
emerging_haplotype,vic,region,2026-08-07,9,1,1288
emerging_haplotype,vic,region,2026-08-20,9,0,0
