forecast_date,partition_size,matching_snapshots,truth_points
2022-12-23,7,40,26826
2022-12-30,7,37,25206
2023-01-06,7,31,21984
2023-01-17,7,23,19764
2023-01-28,7,16,18504
2023-02-08,7,15,17034
2023-03-03,7,0,0
2023-03-10,7,0,0
2023-03-18,8,12,21510
2023-03-28,8,4,17332
2023-04-07,8,0,0
2023-04-14,8,0,0
2023-04-21,7,0,0
2023-04-28,8,66,25578
2023-05-05,8,59,23996
2023-05-12,8,53,22113
2023-05-19,8,46,21315
2023-05-27,8,38,20769
2023-06-03,8,31,20272
2023-06-10,8,28,19138
2023-06-17,8,27,19082
2023-06-30,8,14,17318
2023-07-07,8,8,16471
2023-07-14,8,3,13853
2023-07-22,8,0,0
2023-08-10,9,0,0
2023-08-18,12,0,0
2023-09-08,8,58,39326
2023-09-15,8,51,38346
2023-09-27,8,40,34489
2023-10-04,8,33,33278
2023-10-12,8,25,31822
2023-10-19,8,23,29694
2023-10-26,8,17,27440
2023-11-04,8,10,24234
2023-11-14,8,0,0
2023-11-21,8,0,0
2023-11-29,9,0,0
2023-12-06,11,12,36660
2023-12-13,11,5,33770
2023-12-20,11,0,0
2023-12-27,11,0,0
2024-01-03,10,42,42084
2024-01-10,10,35,39258
2024-01-18,10,27,32616
2024-01-25,10,21,28908
2024-02-01,10,15,25254
2024-02-10,10,6,19071
2024-02-17,10,0,0
2024-02-24,10,0,0
2024-03-02,9,0,0
2024-03-09,9,0,0
2024-03-17,8,0,0
2024-03-24,8,0,0
2024-04-03,7,0,0
2024-04-10,7,0,0
2024-04-17,7,0,0
2024-04-24,6,0,0
2024-05-05,5,0,0
2024-05-12,7,1,9864
2024-05-20,7,0,0
2024-05-27,6,1,8905
2024-06-03,6,0,0
2024-06-15,5,0,0
2024-06-22,4,0,0
2024-07-01,4,0,0
2024-07-08,3,0,0
2024-07-16,3,0,0
2024-07-23,4,51,14115
2024-07-30,4,45,13626
2024-08-06,4,38,12408
2024-08-14,4,30,11472
2024-08-21,4,23,11094
2024-08-28,4,16,9879
2024-09-04,4,9,8634
2024-09-11,4,2,7032
2024-09-18,4,0,0
2024-09-25,4,0,0
2024-10-02,6,2,12415
2024-10-09,6,0,0
2024-10-16,6,0,0
2024-10-23,8,64,28518
2024-10-30,8,57,26768
2024-11-06,8,50,23989
2024-11-13,8,43,22281
2024-11-20,8,36,19439
2024-11-27,8,29,17871
2024-12-04,8,22,17171
2024-12-11,8,15,12719
2024-12-18,8,9,5628
2024-12-25,8,2,1778
2025-01-02,8,0,0
2025-01-09,8,0,0
2025-01-21,10,0,0
2025-01-28,10,0,0
2025-02-04,11,38,32790
2025-02-11,11,32,30430
2025-02-20,11,23,28900
2025-02-27,11,16,27710
2025-03-06,11,9,26520
2025-03-13,11,2,24820
2025-03-20,11,1,23290
2025-03-30,11,0,0
2025-05-18,8,2,9072
2025-06-22,9,7,14576
2025-08-03,9,0,0
2025-09-20,7,1,8712
2025-12-19,6,0,0
2026-01-28,6,0,0
2026-05-08,4,3,1638
