forecast_date,partition_size,matching_snapshots,truth_points
2022-12-23,5,5,568
2022-12-31,5,5,568
2023-01-09,6,47,2805
2023-01-19,5,0,0
2023-01-29,6,30,2505
2023-02-06,6,22,2385
2023-02-13,6,15,2280
2023-02-20,6,9,2175
2023-02-27,6,2,2070
2023-03-07,6,0,0
2023-03-14,6,0,0
2023-03-21,6,18,2550
2023-03-29,6,10,2430
2023-04-05,6,3,2325
2023-04-12,6,1,685
2023-04-19,6,1,685
2023-04-28,7,22,1776
2023-05-05,7,15,906
2023-05-13,7,7,858
2023-05-20,7,0,0
2023-05-27,7,0,0
2023-06-03,6,0,0
2023-06-13,5,27,1272
2023-06-26,5,20,1216
2023-07-03,5,14,1192
2023-07-17,5,0,0
2023-07-24,5,0,0
2023-07-31,3,0,0
2023-08-08,4,0,0
2023-08-15,4,17,1800
2023-08-22,4,10,1737
2023-08-29,4,4,1668
2023-09-05,4,0,0
2023-09-13,4,0,0
2023-09-25,5,0,0
2023-10-02,6,66,4850
2023-10-09,6,59,4710
2023-10-16,6,53,4520
2023-10-23,6,46,4415
2023-10-31,6,38,4235
2023-11-07,6,31,4130
2023-11-14,6,24,3990
2023-11-21,6,17,3805
2023-11-28,6,10,3645
2023-12-05,6,3,3470
2023-12-12,6,0,0
2023-12-19,6,0,0
2023-12-27,7,29,4758
2024-01-03,7,22,4488
2024-01-11,7,15,3546
2024-01-19,7,7,3402
2024-01-26,7,0,0
2024-02-02,7,0,0
2024-02-10,6,0,0
2024-02-17,6,0,0
2024-02-24,5,2,1652
2024-03-02,5,0,0
2024-03-09,5,0,0
2024-03-16,4,0,0
2024-03-23,4,0,0
2024-03-30,3,4,280
2024-04-06,3,0,0
2024-04-13,3,0,0
2024-04-20,3,16,326
2024-04-27,3,13,300
2024-05-06,3,11,294
2024-05-14,4,0,0
2024-05-22,3,0,0
2024-05-29,3,0,0
2024-06-05,2,8,282
2024-06-16,2,0,0
2024-06-23,2,0,0
2024-06-30,3,4,840
2024-07-11,3,0,0
2024-07-18,4,46,2304
2024-07-28,4,36,2193
2024-08-04,4,29,2058
2024-08-11,4,23,2004
2024-08-19,4,15,1929
2024-08-26,4,8,1824
2024-09-02,4,5,1761
2024-09-09,4,3,1677
2024-09-26,4,0,0
2024-10-03,5,1,2192
2024-10-11,5,0,0
2024-10-18,6,7,2855
2024-10-25,6,0,0
2024-11-01,6,0,0
2024-11-08,7,47,4584
2024-11-15,7,40,4380
2024-11-22,7,33,4248
2024-11-29,7,26,4080
2024-12-06,7,19,3912
2024-12-13,7,12,3618
2024-12-20,7,11,3456
2024-12-27,7,4,3366
2025-01-09,7,0,0
2025-05-22,6,0,0
2025-11-16,5,7,3328
2025-12-28,5,0,0
2026-02-01,5,0,0
2026-03-22,4,22,3222
2026-05-10,4,15,2127
2026-06-21,4,8,951
2026-08-08,4,1,402
