forecast_date,partition_size,matching_snapshots,truth_points
2023-10-04,8,33,33278
2023-10-19,8,23,29694
2023-11-04,8,10,24234
2023-11-21,8,0,0
2023-12-06,11,12,36660
2023-12-20,11,0,0
2024-01-03,10,42,42084
2024-01-18,10,27,32616
2024-02-01,10,15,25254
2024-02-17,10,0,0
2024-03-02,9,0,0
2024-03-17,8,0,0
2024-04-03,7,0,0
2024-04-17,7,0,0
2024-05-05,5,0,0
2024-05-20,7,0,0
2024-06-03,6,0,0
2024-06-22,4,0,0
2024-07-08,3,0,0
2024-07-23,4,51,14115
2024-08-06,4,38,12408
2024-08-21,4,23,11094
2024-09-04,4,9,8634
2024-09-18,4,0,0
2024-10-02,6,2,12415
2024-10-16,6,0,0
2024-10-30,8,57,26768
2024-11-13,8,43,22281
2024-11-27,8,29,17871
2024-12-11,8,15,12719
2024-12-25,8,2,1778
2025-01-09,8,0,0
2025-01-28,10,0,0
2025-02-11,11,32,30430
2025-02-27,11,16,27710
2025-03-13,11,2,24820
2025-03-30,11,0,0
2025-06-22,9,7,14576
2025-09-20,7,1,8712
2026-01-28,6,0,0
