forecast_date,partition_size,matching_snapshots,truth_points
2023-07-24,5,0,0
2023-08-08,4,0,0
2023-08-22,4,10,1737
2023-09-05,4,0,0
2023-09-25,5,0,0
2023-10-09,6,59,4710
2023-10-23,6,46,4415
2023-11-07,6,31,4130
2023-11-21,6,17,3805
2023-12-05,6,3,3470
2023-12-19,6,0,0
2024-01-03,7,22,4488
2024-01-19,7,7,3402
2024-02-02,7,0,0
2024-02-17,6,0,0
2024-03-02,5,0,0
2024-03-16,4,0,0
2024-03-30,3,4,280
2024-04-13,3,0,0
2024-04-27,3,13,300
2024-05-14,4,0,0
2024-05-29,3,0,0
2024-06-16,2,0,0
2024-06-30,3,4,840
2024-07-18,4,46,2304
2024-08-04,4,29,2058
2024-08-19,4,15,1929
2024-09-02,4,5,1761
2024-09-26,4,0,0
2024-10-11,5,0,0
2024-10-25,6,0,0
2024-11-08,7,47,4584
2024-11-22,7,33,4248
2024-12-06,7,19,3912
2024-12-20,7,11,3456
2025-01-09,7,0,0
2025-11-16,5,7,3328
2026-02-01,5,0,0
2026-05-10,4,15,2127
2026-08-08,4,1,402
