stratum,n,n_horizons,coverage_95,width_95,wis
C.3.1,273,14,0.808852123840791,0.8901098901098902,0.4945054945054946
C.3.3,246,14,0.8992518257717613,1.0,0.015384615384615385
C.5.1,273,14,-0.8732131558780826,1.0,0.3274725274725274
C.5.6,273,14,0.6218336110040892,0.9736263736263736,0.3318681318681319
C.5.6.1,273,14,-0.18121823539602422,-0.7186813186813187,-0.8989010989010989
C.5.6.1:241Q,246,14,0.03318657168345842,0.8461538461538461,0.6703296703296703
C.5.6:75E,273,14,-0.0756452623910164,0.8549450549450549,0.7758241758241758
C.5.7,273,14,-0.8854945421066038,0.9912087912087912,0.8857142857142857
D.3.1,112,9,0.5714487486348921,-0.75,-0.7333333333333334
D.3.1.1,112,9,0.18809603121561158,0.7333333333333334,0.16666666666666669
D.3.1.1:139N,107,9,0.8101914936669332,0.8166666666666667,-0.9333333333333332
D.3.1.1:155E,107,9,0.8946135105917714,-0.728039845617479,-0.7166666666666667
D.3.1.1:205K,112,9,0.728039845617479,0.75,-0.21666666666666667
J.2,197,8,0.9322272357358045,-0.9761904761904763,-0.9761904761904763
J.2.2,203,8,0.8400825588825814,-1.0,-0.523809523809524
J.2.3,203,8,0.5923057020691221,-1.0,-0.4761904761904762
J.2.4,203,8,0.9697815168769668,-0.11904761904761905,-0.7619047619047621
J.2.4:79V,186,8,0.3559957467016714,1.0,0.4523809523809524
K,203,8,-0.9639253854237597,1.0,1.0
K:145N,203,8,-0.8434347122457899,1.0,0.9761904761904763
K:223I,195,8,-0.3132757502627219,1.0,1.0
K:328S,180,8,-0.4566116604886569,0.9761904761904763,1.0
K:80K,197,8,0.9066867635238646,0.7857142857142858,1.0
