stratum,n,n_horizons,coverage_95,width_95,wis
2023-04-28,1414,17,-0.8624504560757328,0.8480392156862745,0.9926470588235295
2023-05-05,1295,17,-0.5371476612907017,1.0,1.0
2023-05-12,1190,17,0.8488048300220085,0.9975490196078433,0.9926470588235295
2023-05-19,2310,30,0.8957022884394933,1.0,1.0
2023-05-27,1890,30,0.8552482614495927,1.0,1.0
2023-06-03,1890,30,0.654394162911535,0.9982202447163514,1.0
2023-06-10,2100,30,0.9057957910799768,1.0,1.0
2023-06-17,1890,30,0.591283305653098,1.0,1.0
2023-06-30,980,20,0.9379228369755694,1.0,1.0
2023-07-07,546,13,0.8987170342729172,1.0,1.0
2023-09-08,3780,30,-0.9926313610348506,-1.0,1.0
2023-09-15,4200,30,-0.9790351675277076,-1.0,1.0
2023-09-27,4200,30,-0.9747445555509725,-1.0,1.0
2023-10-04,4298,30,-0.9440750510211515,-1.0,1.0
2023-10-12,4123,30,-0.8968188202725181,-0.986206896551724,1.0
2023-10-19,3381,25,-0.9757354286709942,-0.96,0.9984615384615384
2023-10-26,2429,18,-0.7879835175688361,-0.07021167688374845,1.0
2023-11-04,1134,9,-0.7359266609618552,-0.5333333333333333,1.0
2023-12-06,2160,11,0.8545454545454546,1.0,0.20000000000000004
2024-01-03,5067,30,0.7299308315223753,-0.9973303670745272,-0.9764182424916574
2024-01-10,4158,30,0.2867970579333376,-0.9986651835372636,-0.9942157953281423
2024-01-18,4005,28,0.8520956040102072,-0.9928845101258894,-0.9939792008757526
2024-01-25,2736,21,0.4139288317996264,-0.9714285714285713,-0.9870129870129869
2024-02-01,1683,14,0.6416793645467729,-0.9648351648351648,-0.9604395604395607
2024-07-23,1650,30,-0.317105934233562,0.09396574646738347,0.40734149054505003
2024-07-30,1524,30,0.2498817448340716,0.30755537487483436,-0.41713014460511677
2024-08-06,1581,30,-0.13127139173504143,-1.0,-1.0
2024-08-14,1407,29,-0.7513966382669119,-0.6796403549519558,-0.9059113300492609
2024-08-21,1140,22,0.8522436020481311,-0.6149068322981367,0.2207792207792208
2024-08-28,681,15,0.8623252323854063,-0.8357142857142855,-0.9785714285714284
2024-09-04,366,8,0.18257418583505539,0.7349931063856169,0.4285714285714286
2024-10-23,3437,30,-0.9567892237376505,0.9733036707452726,1.0
2024-10-30,3108,30,-0.8925460217018147,0.8709677419354839,1.0
2024-11-06,2751,30,-0.8238516815635776,-0.22427411419233736,0.9995550611790878
2024-11-13,2765,30,-0.3830551556914008,-0.289432703003337,0.946607341490545
2024-11-20,2100,25,0.024553987182280107,0.26966724868908076,0.94
2024-11-27,1260,18,0.6308549017688887,0.15583075335397317,0.1991744066047472
2024-12-04,735,11,-0.5171746582606755,-0.1272727272727273,0.9090909090909091
2025-02-04,4820,30,-0.2566410520463926,0.9915461624026695,1.0
2025-02-11,4800,30,0.0075570642070968905,1.0,1.0
2025-02-20,4800,30,-0.44816861628970533,1.0,1.0
2025-02-27,4420,26,-0.8302159052675424,0.9999999999999999,0.9999999999999999
2025-03-06,3230,19,-0.9012301173931251,1.0,1.0
2025-03-13,2040,12,-0.9197478541246423,1.0,1.0
2025-06-22,2088,30,0.8308973223425344,0.9995550611790878,0.9968854282536151
2026-05-08,270,30,-0.8587701064090707,0.9995550611790878,1.0
