stratum,n,n_horizons,coverage_95,width_95,wis
Australia,8000,30,-0.7247636069334104,0.9781979977753059,0.922135706340378
Belgium,1609,30,-0.9901629622844245,-0.2774193548387097,1.0
Brazil,1609,30,-0.9838719337062616,-0.8847608453837598,0.9190211345939931
Canada,8051,30,-0.8463336401222831,0.9323692992213571,0.9951056729699665
Chile,917,26,0.7722560239245273,0.9856410256410256,0.818119658119658
China,4890,30,-0.07011687229239075,0.2382647385984427,-0.6209121245828698
Denmark,5301,30,-0.9809602965884963,0.9568409343715237,1.0
Finland,618,26,-0.43848979942209054,-0.5993162393162393,0.4618803418803418
France,7464,30,-0.815845155058714,0.9879866518353726,0.9911012235817575
Germany,4255,30,-0.9577370637291694,0.9853170189098998,1.0
Iceland,151,16,0.9548637106322311,-0.9911764705882352,1.0
Indonesia,171,13,-0.04741046559307605,-0.9230769230769231,-0.9230769230769231
Ireland,3820,30,-0.9671748619435819,-0.5313160562413706,0.9902113459399332
Israel,2911,30,-0.8924757110563801,0.7406006674082313,0.9977753058954394
Italy,6055,30,-0.8627714190644653,0.9377085650723025,0.7882091212458288
Japan,6294,30,-0.948036104896378,0.8367074527252502,0.7926585094549499
Netherlands,4785,30,-0.9483642159251966,0.7196885428253615,0.9968854282536151
New Zealand,4409,30,-0.7518648614735537,0.9817575083426029,0.9016685205784205
Poland,275,11,0.7797639219989545,0.39090909090909093,0.9727272727272729
Portugal,446,30,0.0,-0.9595015813870997,0.9977753058954394
Russia,1618,30,-0.9810904450382301,-0.9392254988642724,0.9897664071190211
Singapore,6713,30,-0.4601691257672826,0.8536151279199109,0.9528364849833146
Slovenia,1001,30,0.5756135390791651,1.0,-0.010011123470522802
South Korea,3489,30,0.5185609668553687,0.23648498331479423,0.7632925472747497
Spain,7464,30,-0.5013351258963674,0.992880978865406,0.9768631813125697
Sweden,6962,30,-0.758037606203664,0.9439377085650723,0.971078976640712
Switzerland,1777,30,-0.966490099509262,0.3121245828698554,1.0
Taiwan,460,30,-0.3727736261717707,1.0,0.9394883203559511
USA,8051,30,-0.924018250238866,0.9750834260289211,0.9746384872080088
United Kingdom,7814,30,-0.8058738507982599,0.9443826473859845,0.9982202447163514
