stratum,n,n_horizons,coverage_95,width_95,wis
Australia,6803,30,-0.9455284505080985,0.9853170189098998,0.9982202447163514
Belgium,1609,30,-0.9901629622844245,-0.2774193548387097,1.0
Brazil,1609,30,-0.9838719337062616,-0.8847608453837598,0.9190211345939931
Canada,6854,30,-0.8009789792583477,0.9448275862068966,0.9995550611790878
Chile,917,26,0.7722560239245273,0.9856410256410256,0.818119658119658
China,3693,30,-0.7056991778619919,0.48476084538375974,-0.9399332591768631
Denmark,5301,30,-0.9809602965884963,0.9568409343715237,1.0
Finland,618,26,-0.43848979942209054,-0.5993162393162393,0.4618803418803418
France,6533,30,-0.9351285710738453,0.9563959955506117,0.9919911012235817
Germany,4255,30,-0.9577370637291694,0.9853170189098998,1.0
Iceland,151,16,0.9548637106322311,-0.9911764705882352,1.0
Indonesia,171,13,-0.04741046559307605,-0.9230769230769231,-0.9230769230769231
Ireland,3820,30,-0.9671748619435819,-0.5313160562413706,0.9902113459399332
Israel,2911,30,-0.8924757110563801,0.7406006674082313,0.9977753058954394
Italy,5698,30,-0.9414775488981494,0.8874304783092326,0.9866518353726361
Japan,5853,30,-0.9760766094073977,0.892769744160178,0.9808676307007785
Netherlands,4785,30,-0.9483642159251966,0.7196885428253615,0.9968854282536151
New Zealand,4409,30,-0.7518648614735537,0.9817575083426029,0.9016685205784205
Poland,275,11,0.7797639219989545,0.39090909090909093,0.9727272727272729
Portugal,446,30,0.0,-0.9595015813870997,0.9977753058954394
Russia,1618,30,-0.9810904450382301,-0.9392254988642724,0.9897664071190211
Singapore,5586,30,-0.6772722257951139,0.8718576195773081,0.9523915461624026
Slovenia,1001,30,0.5756135390791651,1.0,-0.010011123470522802
South Korea,2369,30,0.05590413830872749,-0.10656284760845385,-0.16395995550611792
Spain,6267,30,-0.8524699810514795,0.9421579532814239,0.9968854282536151
Sweden,6024,30,-0.8949710946982642,0.8580645161290322,0.9982202447163514
Switzerland,1777,30,-0.966490099509262,0.3121245828698554,1.0
Taiwan,460,30,-0.3727736261717707,1.0,0.9394883203559511
USA,6854,30,-0.9760766094073977,0.9675194660734149,0.9986651835372636
United Kingdom,6673,30,-0.9108713092349473,0.9541713014460511,1.0
