stratum,n,n_horizons,coverage_95,width_95,wis
2023-10-09,450,30,-0.8351296915927222,0.5692667503110177,1.0
2023-10-23,600,30,-0.8029423089498201,0.9789696773331378,1.0
2023-11-07,450,30,0.6432881064514574,1.0,1.0
2023-11-21,320,16,0.45506589338277315,1.0,1.0
2024-01-03,306,22,-0.498997112599576,-0.867871259175607,-0.7154150197628459
2024-07-18,270,30,0.9442761233388767,-0.9974413233375479,-0.9986651835372636
2024-08-04,360,30,-0.8737934634026543,-0.9986651835372636,-0.9964404894327029
2024-09-02,117,10,-0.5222329678670935,-0.9878787878787878,-0.5515151515151515
2024-11-08,720,30,0.7329826916451647,0.979305765232984,1.0
2024-11-22,720,30,0.7275348510026953,0.839118845874479,1.0
2024-12-06,624,26,-0.6356896651088504,0.4844339142879045,0.9993162393162391
2024-12-20,288,12,0.4803844614152615,0.8301238649809405,0.9510489510489512
2025-11-16,508,30,-0.7329826916451647,-0.9712762703571723,1.0
2026-05-10,282,30,-0.5891114328473495,0.29974405430377205,1.0
