stratum,n,n_horizons,coverage_95,width_95,wis
22E (Omicron),136,30,0.6292260804312731,-0.10119521091726572,-0.9606952825159528
22F (Omicron),136,30,-0.7597174229354947,0.8410862173154935,0.6493882091212457
23A,1042,30,-0.9208182670422922,-0.9790878754171303,0.9977753058954394
23A (Omicron),136,30,-0.7339172990897193,-0.10487646110459149,0.9977753058954394
23B,1044,30,0.7983970175872735,0.6191323692992213,-0.6200222469410456
23D,1044,30,-0.9632364657559672,-0.7010011123470522,0.9924360400444937
23E,962,30,-0.3917432672612943,0.957730812013348,0.9661846496106785
23F,1022,30,-0.9673078218487018,0.9670745272525029,0.9995550611790878
23I,221,29,-0.3466079618145213,-0.07340805573602133,-0.07290640394088668
24B,1313,30,0.8393029425723919,0.8536151279199109,-0.9639599555061179
24C,1307,30,-0.2786451701062146,0.8166852057842046,0.957730812013348
24E,716,30,-0.11957024775146655,0.9902113459399332,0.9977753058954394
24F,693,30,-0.977727496150998,0.9969963350157378,1.0
24G,716,30,0.4911940860584372,-0.9638447050408784,-0.9114571746384873
24H,127,30,-0.7329826916451647,-0.889964214533068,0.9205255837411154
25A,127,30,0.7329826916451647,-0.9835163059701816,-0.8382861620734716
25B,401,30,0.7462505538503809,0.9836360550755581,1.0
25C,401,30,-0.19950147094378673,0.30589543937708563,1.0
25I,274,30,-0.7756012415366498,0.986206896551724,1.0
