stratum,n,n_horizons,coverage_95,width_95,wis
23A,454,30,-0.7336248676862241,-0.8352430800377325,0.9946607341490545
23B,454,30,0.6789176133027961,0.9617352614015572,-0.4513904338153503
23D,454,30,-0.924467928438345,0.07876293296040418,0.9964404894327029
23E,434,30,0.00990841096499013,0.8153503893214683,0.9719688542825362
23F,456,30,-0.8930782791553217,0.923795756077961,0.9986651835372636
24B,719,30,0.6444864158042369,0.23895872881207372,-0.8527252502780869
24C,713,30,-0.34705338333500624,0.4562847608453838,0.7423804226918799
24E,392,30,-0.1793355092846955,0.9939920139276844,1.0
24F,392,30,-0.9126475073912695,0.996105541200983,1.0
24G,392,30,0.11915854289787728,-0.9058745217594814,-0.810901001112347
24H,127,30,-0.7329826916451647,-0.889964214533068,0.9205255837411154
25A,127,30,0.7329826916451647,-0.9835163059701816,-0.8382861620734716
25B,221,30,-0.19950147094378673,0.21393885045201483,1.0
25C,221,30,-0.5891114328473495,0.20695050787054503,1.0
